País,Sede,Red Social,URL
AUSTRALIA,CSIDN,,  
AUSTRALIA,CSIDN,,https:
AUSTRALIA,CSIDN,Facebook,www.facebook.com/ArgentinaEnSidney/  
AUSTRALIA,EAUST,,  
AUSTRALIA,EAUST,,  https:
AUSTRALIA,EAUST,,https:
AUSTRALIA,EAUST,Facebook,www.facebook.com/ArgentinaEnAustralia/  
AUSTRALIA,EAUST,Twitter,twitter.com/ARGinAustralia  
BARBADOS,EBARB,,  
BARBADOS,EBARB,,https:
BARBADOS,EBARB,Facebook,www.facebook.com/ArgentinaEnBarbados/  
CANADÁ,CTORO,,  
CANADÁ,CTORO,,  https:
CANADÁ,CTORO,,https:
CANADÁ,CTORO,Facebook,www.facebook.com/ArgentinaEnToronto/  
CANADÁ,CTORO,Instagram,www.instagram.com/consuladoargtoronto/  
CANADÁ,ECANA,,  https:
CANADÁ,ECANA,,https:
CANADÁ,ECANA,Facebook,www.facebook.com/ArgentinaInCanada  
CANADÁ,ECANA,Twitter,twitter.com/ArginCanada  
CANADÁ,ECANA,Youtube,www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A  
Confederación  Suiza,EOIRS,,  https:
Confederación  Suiza,EOIRS,,https:
Confederación  Suiza,EOIRS,Facebook,www.facebook.com/ArgentinaEnGinebra  
Confederación  Suiza,EOIRS,Instagram,  www.instagram.com/misionargentinaonu  
Confederación  Suiza,EOIRS,Twitter,twitter.com/ArgentinaONUOMC    
Confederación  Suiza,EOIRS,Youtube,www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag  
EMIRATOS  ÁRABES  UNIDOS,EEARB,,  
EMIRATOS  ÁRABES  UNIDOS,EEARB,,https:
EMIRATOS  ÁRABES  UNIDOS,EEARB,Facebook,www.facebook.com/ArgentinaEnEmiratosArabesUnidos  
ESTADO  DE  ISRAEL,CGTEL,,  
ESTADO  DE  ISRAEL,CGTEL,,https:
ESTADO  DE  ISRAEL,CGTEL,Facebook,www.facebook.com/ArgentinaEnIsrael/  
ESTADO  DE  ISRAEL,EISRA,,  
ESTADO  DE  ISRAEL,EISRA,,  https:
ESTADO  DE  ISRAEL,EISRA,,https:
ESTADO  DE  ISRAEL,EISRA,Facebook,www.facebook.com/ArgEnIsrael  
ESTADO  DE  ISRAEL,EISRA,Twitter,twitter.com/argenisrael  
ESTADO  DE  KUWAIT,EKUWA,,  
ESTADO  DE  KUWAIT,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait  
ESTADO  DE  PALESTINA,REPAL,,  
ESTADO  DE  PALESTINA,REPAL,,https:
ESTADO  DE  PALESTINA,REPAL,Facebook,www.facebook.com/ArgEnPalestina  
ESTADO  DE  QATAR,EQATR,,  
ESTADO  DE  QATAR,EQATR,,  @embargenqatar  
ESTADO  DE  QATAR,EQATR,,@embargenqatar  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,,  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,Facebook,wwww.facebook.com/ArgentinaEnCochabamba  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CSCRS,,  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CSCRS,,cscrs2018  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CSCRS,Facebook,  www.facebook.com/ArgEnSantaCruz  de  la  Sierra  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,,  
ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,,https:
ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,Facebook,www.facebook.com/ArgEnVillazon  
ESTADO  PLURINACIONAL  DE  BOLIVIA,EBOLV,,  
ESTADO  PLURINACIONAL  DE  BOLIVIA,EBOLV,,  @EmbajadaArgentinaBolivia  
ESTADO  PLURINACIONAL  DE  BOLIVIA,EBOLV,,  @embajada_argentina_en_bolivia  
ESTADO  PLURINACIONAL  DE  BOLIVIA,EBOLV,,@EmbaArgBolivia  
ESTADOS  UNIDOS  MEXICANOS,EMEXI,,  https:
ESTADOS  UNIDOS  MEXICANOS,EMEXI,,https:
ESTADOS  UNIDOS  MEXICANOS,EMEXI,Facebook,www.facebook.com/ARGenMexico/  
ESTADOS  UNIDOS  MEXICANOS,EMEXI,Instagram,www.instagram.com/embargenmexico/  
ESTADOS  UNIDOS  MEXICANOS,EMEXI,Twitter,twitter.com/@ARGenMexico  
Estados  Unidos  de  América,CCHIC,,  
Estados  Unidos  de  América,CCHIC,,  https:
Estados  Unidos  de  América,CCHIC,,https:
Estados  Unidos  de  América,CCHIC,Facebook,www.facebook.com/ArgentinaEnChicago  
Estados  Unidos  de  América,CCHIC,Twitter,twitter.com/argenchicago  
Estados  Unidos  de  América,CCHIC,Youtube,www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  
Estados  Unidos  de  América,CHOUS,,  
Estados  Unidos  de  América,CHOUS,,  https:
Estados  Unidos  de  América,CHOUS,,@ARGenHouston  
Estados  Unidos  de  América,CHOUS,Facebook,www.facebook.com/ArgentinaEnHouston/  
Estados  Unidos  de  América,CLANG,,  
Estados  Unidos  de  América,CLANG,,  @arg_clang  
Estados  Unidos  de  América,CLANG,,https:
Estados  Unidos  de  América,CLANG,Facebook,www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel    
Estados  Unidos  de  América,CMIAM,,  
Estados  Unidos  de  América,CMIAM,,  @argenmiami  
Estados  Unidos  de  América,CMIAM,,  consuladoargentinomia  
Estados  Unidos  de  América,CMIAM,,https:
Estados  Unidos  de  América,CMIAM,Facebook,es-la.facebook.com/consuladoargentino.miami/  
Estados  Unidos  de  América,CNYOR,,  https:
Estados  Unidos  de  América,CNYOR,,https:
Estados  Unidos  de  América,CNYOR,Facebook,www.facebook.com/ARGenNewYork  
Estados  Unidos  de  América,CNYOR,Instagram,www.instagram.com/argennewyork/  
Estados  Unidos  de  América,CNYOR,Twitter,twitter.com/ARGenNewYork  
Estados  Unidos  de  América,EEEUU,,  https:
Estados  Unidos  de  América,EEEUU,,https:
Estados  Unidos  de  América,EEEUU,Facebook,www.facebook.com/ARGinUSA/  
Estados  Unidos  de  América,EEEUU,Instagram,www.instagram.com/ARGinUSA/  
Estados  Unidos  de  América,EEEUU,Twitter,twitter.com/ARGinUSA  
Estados  Unidos  de  América,EEOEA,,  
Estados  Unidos  de  América,EEOEA,Facebook,www.facebook.com/ARGenOEA/  
Estados  Unidos  de  América,EEOEA,Instagram,  www.instagram.com/argenoea/  
Estados  Unidos  de  América,EEOEA,Twitter,  www.twitter.com/ARGenOEA  
Estados  Unidos  de  América,EEOEA,Youtube,  www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured  
FEDERACIÓN  DE  RUSIA,EFRUS,,  
FEDERACIÓN  DE  RUSIA,EFRUS,,  https:
FEDERACIÓN  DE  RUSIA,EFRUS,,https:
FEDERACIÓN  DE  RUSIA,EFRUS,Facebook,www.facebook.com/EMBAJADAARGENTINAENMOSCU  
FEDERACIÓN  DE  RUSIA,EFRUS,Twitter,twitter.com/EmbArgRusia  
HUNGRÍA,EUNGR,,  
HUNGRÍA,EUNGR,,https:
HUNGRÍA,EUNGR,Facebook,www.facebook.com/ArgentinaEnHungria  
IRLANDA,EIRLA,,  
IRLANDA,EIRLA,,  https:
IRLANDA,EIRLA,,https:
IRLANDA,EIRLA,Facebook,www.facebook.com/ArgentinaEnIrlanda/  
IRLANDA,EIRLA,Instagram,www.instagram.com/embajadaargentinairlanda  
JAMAICA,EJAMA,,  
JAMAICA,EJAMA,,  argentinaenjamaica  
JAMAICA,EJAMA,,  https:
JAMAICA,EJAMA,,https:
JAMAICA,EJAMA,Facebook,www.facebook.com/ArgentinaEnJamaica/  
JAMAICA,EJAMA,Twitter,twitter.com/ARGenJamaica  
MALASIA,EMSIA,,  
MALASIA,EMSIA,,https:
MALASIA,EMSIA,Facebook,www.facebook.com/ArgentinaEnMalasia  
REINO  DE  ARABIA  SAUDITA,EARAB,,  
REINO  DE  ARABIA  SAUDITA,EARAB,,  https:
REINO  DE  ARABIA  SAUDITA,EARAB,,https:
REINO  DE  ARABIA  SAUDITA,EARAB,Facebook,www.facebook.com/argentinaenarabiasaudita/  
REINO  DE  ARABIA  SAUDITA,EARAB,Instagram,www.instagram.com/arginsaudi/  
REINO  DE  ARABIA  SAUDITA,EARAB,Twitter,twitter.com/ensaudita  
REINO  DE  DINAMARCA,EDINA,,  
REINO  DE  DINAMARCA,EDINA,,https:
REINO  DE  DINAMARCA,EDINA,Facebook,www.facebook.com/EmbajadadeArgentinaenDinamarca/  
REINO  DE  ESPAÑA,CBARC,,  
REINO  DE  ESPAÑA,CBARC,,  Consulado  Argentino  en  Barcelona  
REINO  DE  ESPAÑA,CBARC,Facebook,facebook.com/ArgEnBarcelona  
REINO  DE  ESPAÑA,CBARC,Instagram,  instagram.com/argenbarcelona  
REINO  DE  ESPAÑA,CBARC,Linkedin,  linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/  
REINO  DE  ESPAÑA,CBARC,Twitter,  twitter.com/ARGenBarcelona  
REINO  DE  ESPAÑA,CCADI,,  
REINO  DE  ESPAÑA,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz  
REINO  DE  ESPAÑA,CMADR,,  
REINO  DE  ESPAÑA,CMADR,,https:
REINO  DE  ESPAÑA,CMADR,Facebook,www.facebook.com/ArgentinaEnMadridEsp/  
REINO  DE  ESPAÑA,CMALL,,  
REINO  DE  ESPAÑA,CMALL,,https:
REINO  DE  ESPAÑA,CMALL,Facebook,www.facebook.com/ArgentinaEnPalmaDeMallorca  
REINO  DE  ESPAÑA,CTENE,,  
REINO  DE  ESPAÑA,CTENE,Facebook,www.facebook.com/argentinaentenerife  
REINO  DE  ESPAÑA,CVIGO,,  
REINO  DE  ESPAÑA,CVIGO,,  https:
REINO  DE  ESPAÑA,CVIGO,Facebook,facebook.com/ArgentinaenVigo  
REINO  DE  ESPAÑA,CVIGO,Instagram,www.instagram.com/argenvigo/  
REINO  DE  ESPAÑA,EESPA,,  
REINO  DE  ESPAÑA,EESPA,,  https:
REINO  DE  ESPAÑA,EESPA,,https:
REINO  DE  ESPAÑA,EESPA,Facebook,www.facebook.com/argenespa/  
REINO  DE  ESPAÑA,EESPA,Instagram,www.instagram.com/argenespa/  
REINO  DE  ESPAÑA,EESPA,Twitter,twitter.com/ARGenesp  
REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,,  
REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,,  https:
REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,,https:
REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Facebook,www.facebook.com/ArgEnPaisesBajos/  
REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Twitter,twitter.com/ArgentinaEnPB  
REINO  DE  MARRUECOS,EMARR,,  
REINO  DE  MARRUECOS,EMARR,,  https:
REINO  DE  MARRUECOS,EMARR,,https:
REINO  DE  MARRUECOS,EMARR,Instagram,www.instagram.com/marruecos.embajada/  
REINO  DE  MARRUECOS,EMARR,Twitter,twitter.com/ArgMarruecos  
REINO  DE  NORUEGA,ENORU,,  
REINO  DE  NORUEGA,ENORU,,  https:
REINO  DE  NORUEGA,ENORU,,https:
REINO  DE  NORUEGA,ENORU,Facebook,www.facebook.com/ArgentinaEnNoruega/  
REINO  DE  NORUEGA,ENORU,Instagram,www.instagram.com/ARGenNoruega/  
REINO  DE  SUECIA,ESUEC,,  
REINO  DE  SUECIA,ESUEC,,  https:
REINO  DE  SUECIA,ESUEC,,https:
REINO  DE  SUECIA,ESUEC,Facebook,www.facebook.com/arginsweden/  
REINO  DE  SUECIA,ESUEC,Instagram,www.instagram.com/arginsweden/  
REINO  DE  SUECIA,ESUEC,Linkedin,se.linkedin.com/showcase/arginsweden  
REINO  DE  TAILANDIA,ETAIL,,  
REINO  DE  TAILANDIA,ETAIL,,https:
REINO  DE  TAILANDIA,ETAIL,Facebook,www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F  
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,CLOND,,  
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,CLOND,,https:
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,CLOND,Instagram,www.instagram.com/consuladoargentinoenlondres/  
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,,  https:
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,,https:
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Facebook,www.facebook.com/ARGinUK/  
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Flickr,www.flickr.com/photos/138300767@N07/albums  
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Twitter,twitter.com/ARGinUK  
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,,  
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,,  https:
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,,https:
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Facebook,  facebook.com/ArgentinaEnArgelia  
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Instagram,instagram.com/argenargelia  
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Twitter,twitter.com/ARGenArgelia  
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,,  
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,,  https:
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,,https:
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Facebook,www.facebook.com/EmbajadaArgentinaEnVenezuela  
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Instagram,www.instagram.com/argenvenezuela/  
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Twitter,twitter.com/argenvenezuela?lang=es  
REPÚBLICA  CHECA,ECHES,,  
REPÚBLICA  CHECA,ECHES,,  https:
REPÚBLICA  CHECA,ECHES,,https:
REPÚBLICA  CHECA,ECHES,Facebook,www.facebook.com/ArgentinaEnRepCheca/  
REPÚBLICA  CHECA,ECHES,Instagram,www.instagram.com/argentinaenpraga  
REPÚBLICA  DE  ANGOLA,EANGO,,  
REPÚBLICA  DE  ANGOLA,EANGO,,  https:
REPÚBLICA  DE  ANGOLA,EANGO,,https:
REPÚBLICA  DE  ANGOLA,EANGO,Facebook,www.facebook.com/ArgentinaEnAngola/  
REPÚBLICA  DE  ANGOLA,EANGO,Instagram,www.instagram.com/embargentinaenangola/  
REPÚBLICA  DE  ARMENIA,EARME,,  
REPÚBLICA  DE  ARMENIA,EARME,,  https:
REPÚBLICA  DE  ARMENIA,EARME,,https:
REPÚBLICA  DE  ARMENIA,EARME,Facebook,www.facebook.com/ArgentinaEnArmenia  
REPÚBLICA  DE  ARMENIA,EARME,Instagram,www.instagram.com/arginarmenia/  
REPÚBLICA  DE  ARMENIA,EARME,Twitter,twitter.com/ARGinArmenia  
REPÚBLICA  DE  AUSTRIA,ETRIA,,  
REPÚBLICA  DE  AUSTRIA,ETRIA,,  https:
REPÚBLICA  DE  AUSTRIA,ETRIA,,https:
REPÚBLICA  DE  AUSTRIA,ETRIA,Facebook,www.facebook.com/ArgentinaEnAustria/  
REPÚBLICA  DE  AUSTRIA,ETRIA,Instagram,www.instagram.com/argenviena/  
REPÚBLICA  DE  AUSTRIA,ETRIA,Twitter,twitter.com/ARGenViena  
REPÚBLICA  DE  AZERBAIYÁN,EAZER,,  
REPÚBLICA  DE  AZERBAIYÁN,EAZER,,https:
REPÚBLICA  DE  AZERBAIYÁN,EAZER,Facebook,www.facebook.com/EmbassyOfArgentina/  
REPÚBLICA  DE  AZERBAIYÁN,EAZER,Instagram,  www.instagram.com/embargentinaaz  
REPÚBLICA  DE  AZERBAIYÁN,EAZER,Twitter,  www.twitter.com/ARGEnAzer  
REPÚBLICA  DE  BULGARIA,EBULG,,  
REPÚBLICA  DE  BULGARIA,EBULG,,  https:
REPÚBLICA  DE  BULGARIA,EBULG,,https:
REPÚBLICA  DE  BULGARIA,EBULG,Facebook,www.facebook.com/ArgentinaEnBulgaria/  
REPÚBLICA  DE  BULGARIA,EBULG,Youtube,www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow  
REPÚBLICA  DE  CHILE,CANTO,,  
REPÚBLICA  DE  CHILE,CANTO,,https:
REPÚBLICA  DE  CHILE,CANTO,Facebook,www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  
REPÚBLICA  DE  CHILE,CAREN,,  
REPÚBLICA  DE  CHILE,CAREN,,https:
REPÚBLICA  DE  CHILE,CAREN,Facebook,www.facebook.com/profile.php?id=100014152878593  
REPÚBLICA  DE  CHILE,CPMON,,  
REPÚBLICA  DE  CHILE,CPMON,,https:
REPÚBLICA  DE  CHILE,CPMON,Facebook,www.facebook.com/ArgentinaEnPuertoMontt/  
REPÚBLICA  DE  CHILE,CVALP,,  
REPÚBLICA  DE  CHILE,CVALP,,https:
REPÚBLICA  DE  CHILE,CVALP,Facebook,www.facebook.com/ArgentinaEnValparaiso  
REPÚBLICA  DE  CHILE,EHILE,,  
REPÚBLICA  DE  CHILE,EHILE,,  https:
REPÚBLICA  DE  CHILE,EHILE,,https:
REPÚBLICA  DE  CHILE,EHILE,Facebook,www.facebook.com/EmbArgentinaEnChile  
REPÚBLICA  DE  CHILE,EHILE,Instagram,www.instagram.com/embargenchile/  
REPÚBLICA  DE  CHILE,EHILE,Twitter,twitter.com/EmbArgEnChile  
REPÚBLICA  DE  COLOMBIA,ECOLO,,  
REPÚBLICA  DE  COLOMBIA,ECOLO,,  argentinaencolombia  
REPÚBLICA  DE  COLOMBIA,ECOLO,,  https:
REPÚBLICA  DE  COLOMBIA,ECOLO,,@ArgColombia  
REPÚBLICA  DE  COLOMBIA,ECOLO,Facebook,www.facebook.com/ArgColombia/?ref=bookmarks  
REPÚBLICA  DE  COREA,ECORE,,  
REPÚBLICA  DE  COREA,ECORE,,  https:
REPÚBLICA  DE  COREA,ECORE,,https:
REPÚBLICA  DE  COREA,ECORE,Facebook,www.facebook.com/ArgentinaEnCorea/  
REPÚBLICA  DE  COREA,ECORE,Instagram,www.instagram.com/embajadaargentinaencorea1/?hl=es  
REPÚBLICA  DE  COSTA  RICA,ERICA,,  
REPÚBLICA  DE  COSTA  RICA,ERICA,,https:
REPÚBLICA  DE  COSTA  RICA,ERICA,Facebook,www.facebook.com/argentinaencostarica/  
REPÚBLICA  DE  CUBA,ECUBA,,  
REPÚBLICA  DE  CUBA,ECUBA,,https:
REPÚBLICA  DE  CUBA,ECUBA,Facebook,www.facebook.com/ArgentinaEnCubaLaHabana/  
REPÚBLICA  DE  EL  SALVADOR,ESALV,,  
REPÚBLICA  DE  EL  SALVADOR,ESALV,,  https:
REPÚBLICA  DE  EL  SALVADOR,ESALV,,https:
REPÚBLICA  DE  EL  SALVADOR,ESALV,Facebook,www.facebook.com/ArgentinaEnElSalvador/  
REPÚBLICA  DE  EL  SALVADOR,ESALV,Instagram,www.instagram.com/embargenelsalvador/  
REPÚBLICA  DE  EL  SALVADOR,ESALV,Twitter,twitter.com/ARGenElSalvador  
REPÚBLICA  DE  FILIPINAS,EFILI,,  
REPÚBLICA  DE  FILIPINAS,EFILI,,  https:
REPÚBLICA  DE  FILIPINAS,EFILI,,https:
REPÚBLICA  DE  FILIPINAS,EFILI,Facebook,www.facebook.com/ArgentinaEnFilipinas  
REPÚBLICA  DE  FILIPINAS,EFILI,Instagram,www.instagram.com/argentinaenfilipinas/  
