country,sedes_count,secciones_prom,flujo_migratorio_neto
BRA,11,1.6,-226752.0
USA,9,3.3,32631153.0
URY,8,0.5,-147137.0
BOL,7,2.3,-272782.0
CHL,7,2.0,-329991.0
ESP,7,2.3,641977.0
CHN,6,2.8,-5600281.0
CAN,4,1.8,4299586.0
DEU,4,3.5,7532387.0
ITA,4,3.3,-1013857.0
PRY,4,0.0,-221020.0
MEX,3,3.3,-9051397.0
AUS,2,4.0,3565898.0
BEL,2,5.5,538264.0
CHE,2,2.5,1232209.0
ECU,2,5.0,-527223.0
FRA,2,4.5,4511990.0
GRB,2,6.0,0.0
IND,2,3.5,-3281057.0
ISR,2,2.5,1542103.0
PER,2,3.5,-641140.0
TUR,2,2.0,-1741202.0
ZAF,2,2.0,316286.0
AGO,1,6.0,-341506.0
ARE,1,3.0,2212641.0
ARG,1,0.0,961383.0
ARM,1,3.0,-562573.0
AUT,1,11.0,464359.0
AZE,1,5.0,-1246938.0
BGD,1,0.0,-4021801.0
BGR,1,0.0,-682680.0
BRB,1,7.0,-66969.0
COL,1,7.0,-1423852.0
CRI,1,2.0,191095.0
CUB,1,5.0,-1037511.0
CZE,1,5.0,-425944.0
DNK,1,4.0,150874.0
DOM,1,3.0,-518952.0
DZA,1,6.0,-1268004.0
EGY,1,6.0,-2105142.0
ETH,1,4.0,143342.0
FIN,1,2.0,-242214.0
GRC,1,4.0,-318245.0
GTM,1,3.0,-518740.0
GUY,1,0.0,-347264.0
HND,1,4.0,-312579.0
HTI,1,7.0,-752122.0
HUN,1,5.0,-143327.0
IDN,1,5.0,-1687322.0
IRL,1,4.0,-738762.0
IRN,1,1.0,-60273.0
JAM,1,3.0,-905476.0
JPN,1,6.0,812362.0
KEN,1,6.0,166200.0
KOR,1,5.0,-1328698.0
KWT,1,5.0,1133923.0
LBN,1,5.0,-364002.0
LBY,1,2.0,435968.0
LCA,1,0.0,-38847.0
MAR,1,5.0,-1560159.0
MOZ,1,8.0,-390061.0
MYS,1,3.0,348056.0
NGA,1,6.0,84806.0
NIC,1,1.0,-472307.0
NLD,1,4.0,810628.0
NOR,1,3.0,98406.0
NZL,1,3.0,182802.0
PAK,1,2.0,-1171308.0
PAN,1,4.0,-89594.0
PHL,1,4.0,-2760757.0
POL,1,3.0,-4324836.0
PRT,1,5.0,-702472.0
PSE,1,0.0,441744.0
QAT,1,5.0,465786.0
ROU,1,2.0,-1175209.0
RUS,1,13.0,1675380.0
SAU,1,0.0,4917572.0
SEN,1,0.0,-126101.0
SGP,1,4.0,1064559.0
SLV,1,5.0,-903601.0
SRB,1,4.0,0.0
SUR,1,6.0,-216647.0
SWE,1,4.0,722531.0
SYR,1,1.0,-51650.0
THA,1,6.0,-2261.0
TTO,1,1.0,-265639.0
TUN,1,7.0,-534414.0
UKR,1,4.0,-709514.0
VAT,1,6.0,0.0
VEN,1,5.0,681595.0
VNM,1,4.0,-1708229.0
ABW,0,0.0,19422.0
AFG,0,0.0,-1103818.0
AIA,0,0.0,481.0
ALB,0,0.0,-949565.0
AND,0,0.0,37915.0
ANT,0,0.0,-101947.0
ASM,0,0.0,5400.0
ATG,0,0.0,-27001.0
BDI,0,0.0,-161365.0
BEN,0,0.0,-223682.0
BFA,0,0.0,-817565.0
BHR,0,0.0,204330.0
BHS,0,0.0,-5265.0
BIH,0,0.0,-1249783.0
BLR,0,0.0,-606999.0
BLZ,0,0.0,-16781.0
BMU,0,0.0,-614.0
BRN,0,0.0,52994.0
BTN,0,0.0,20447.0
BWA,0,0.0,13939.0
CAF,0,0.0,-5475.0
CHI,0,0.0,0.0
CIV,0,0.0,1657699.0
CMR,0,0.0,43775.0
COD,0,0.0,-320681.0
COG,0,0.0,-39944.0
COK,0,0.0,-18340.0
COM,0,0.0,-41043.0
CPV,0,0.0,-142045.0
CYM,0,0.0,22394.0
CYP,0,0.0,-114214.0
DJI,0,0.0,82418.0
DMA,0,0.0,-39368.0
ERI,0,0.0,-348767.0
EST,0,0.0,20644.0
FJI,0,0.0,-110629.0
FLK,0,0.0,45.0
FRO,0,0.0,-12015.0
FSM,0,0.0,-11941.0
GAB,0,0.0,178886.0
GBR,0,0.0,829536.0
GEO,0,0.0,-920608.0
GHA,0,0.0,-300662.0
GIB,0,0.0,3536.0
GIN,0,0.0,-178683.0
GLP,0,0.0,-161602.0
GMB,0,0.0,134952.0
GNB,0,0.0,-61664.0
GNQ,0,0.0,-58480.0
GRD,0,0.0,-51829.0
GRL,0,0.0,-7261.0
GUF,0,0.0,72145.0
GUM,0,0.0,20907.0
HKG,0,0.0,1941807.0
HRV,0,0.0,-1732.0
IMN,0,0.0,0.0
IRQ,0,0.0,-1011525.0
ISL,0,0.0,-11162.0
JOR,0,0.0,-743662.0
KAZ,0,0.0,-547115.0
KGZ,0,0.0,-297460.0
KHM,0,0.0,-45655.0
KIR,0,0.0,-9169.0
KNA,0,0.0,-24843.0
LAO,0,0.0,-313991.0
LBR,0,0.0,-187803.0
LIE,0,0.0,6707.0
LKA,0,0.0,-385520.0
LSO,0,0.0,-171769.0
LTU,0,0.0,-330844.0
LUX,0,0.0,116422.0
LVA,0,0.0,95222.0
MAC,0,0.0,143415.0
MCO,0,0.0,18995.0
MDA,0,0.0,-164790.0
MDG,0,0.0,-25020.0
MDV,0,0.0,2272.0
MHL,0,0.0,-4347.0
MKD,0,0.0,-231718.0
MLI,0,0.0,-618182.0
MLT,0,0.0,-62386.0
MMR,0,0.0,-228390.0
MNE,0,0.0,0.0
MNG,0,0.0,3337.0
MNP,0,0.0,34093.0
MRT,0,0.0,-33748.0
MSR,0,0.0,-4388.0
MTQ,0,0.0,-116041.0
MUS,0,0.0,-47876.0
MWI,0,0.0,44015.0
MYT,0,0.0,39023.0
NAM,0,0.0,43682.0
NCL,0,0.0,27406.0
NER,0,0.0,-55642.0
NFK,0,0.0,456.0
NIU,0,0.0,-5787.0
NPL,0,0.0,-179516.0
NRU,0,0.0,3008.0
OMN,0,0.0,349014.0
PLW,0,0.0,-11902.0
PNG,0,0.0,-18480.0
PRI,0,0.0,-1135539.0
PRK,0,0.0,-508047.0
PYF,0,0.0,17140.0
REU,0,0.0,-9081.0
RWA,0,0.0,121847.0
SCG,0,0.0,-1558445.0
SDN,0,0.0,-142966.0
SHN,0,0.0,-2193.0
SLB,0,0.0,3277.0
SLE,0,0.0,-60519.0
SMR,0,0.0,5560.0
SOM,0,0.0,-356955.0
SPM,0,0.0,1247.0
STP,0,0.0,-28298.0
SVK,0,0.0,-423262.0
SVN,0,0.0,78341.0
SWZ,0,0.0,-13116.0
SYC,0,0.0,-3510.0
TCA,0,0.0,427.0
TCD,0,0.0,-57744.0
TGO,0,0.0,-76297.0
TJK,0,0.0,-230606.0
TKL,0,0.0,-2157.0
TKM,0,0.0,-104096.0
TLS,0,0.0,-6448.0
TON,0,0.0,-43169.0
TUV,0,0.0,-3234.0
TWN,0,0.0,-75263.0
TZA,0,0.0,4064.0
UGA,0,0.0,-133233.0
UZB,0,0.0,-301483.0
VCT,0,0.0,-49190.0
VGB,0,0.0,74.0
VIR,0,0.0,-34517.0
VUT,0,0.0,-5107.0
WLF,0,0.0,-5714.0
WSM,0,0.0,-92267.0
XKX,0,0.0,0.0
YEM,0,0.0,-260369.0
ZMB,0,0.0,-36194.0
ZWE,0,0.0,36878.0
zzz,0,0.0,0.0
